Target Distance: 50, Step Size: 2
0: (x,y) = (1.67734, -1.08928)
1: (x,y) = (0.365223, -2.5987)
2: (x,y) = (0.469895, -0.601438)
3: (x,y) = (-0.919422, 0.837241)
4: (x,y) = (-1.88904, 2.58648)
5: (x,y) = (-0.685411, 4.18375)
6: (x,y) = (0.57323, 2.62946)
7: (x,y) = (2.38585, 1.78422)
8: (x,y) = (0.518685, 2.50096)
9: (x,y) = (-1.2789, 3.3777)
10: (x,y) = (-2.8332, 4.63634)
11: (x,y) = (-4.82224, 4.8454)
12: (x,y) = (-4.78733, 2.8457)
13: (x,y) = (-5.93449, 4.48401)
14: (x,y) = (-7.7165, 5.39199)
15: (x,y) = (-6.18441, 4.10641)
16: (x,y) = (-4.95309, 5.68244)
17: (x,y) = (-4.98799, 3.68274)
18: (x,y) = (-6.94429, 4.09856)
19: (x,y) = (-7.01409, 6.09734)
20: (x,y) = (-6.73574, 8.07788)
21: (x,y) = (-7.45248, 9.94504)
22: (x,y) = (-9.11055, 8.82666)
23: (x,y) = (-10.62, 10.1388)
24: (x,y) = (-11.304, 8.25939)
25: (x,y) = (-9.94002, 9.7221)
26: (x,y) = (-8.26267, 10.8114)
27: (x,y) = (-7.20284, 12.5075)
28: (x,y) = (-8.61705, 13.9217)
29: (x,y) = (-7.93301, 12.0423)
30: (x,y) = (-9.39572, 10.6783)
31: (x,y) = (-11.1101, 9.64823)
32: (x,y) = (-12.8244, 8.61815)
33: (x,y) = (-11.0268, 7.74141)
34: (x,y) = (-10.3757, 9.63244)
35: (x,y) = (-8.46305, 10.2172)
36: (x,y) = (-9.49313, 8.50285)
37: (x,y) = (-10.6115, 6.84478)
38: (x,y) = (-11.1963, 4.93217)
39: (x,y) = (-12.0415, 6.74478)
40: (x,y) = (-11.7978, 8.72988)
41: (x,y) = (-13.5121, 9.75995)
42: (x,y) = (-11.61, 10.378)
43: (x,y) = (-10.5799, 12.0923)
44: (x,y) = (-8.61028, 12.4396)
45: (x,y) = (-10.4513, 11.6582)
46: (x,y) = (-8.54918, 12.2762)
47: (x,y) = (-9.57926, 10.5619)
48: (x,y) = (-8.29368, 12.0939)
49: (x,y) = (-10.0429, 11.1243)
50: (x,y) = (-11.9223, 10.4403)
51: (x,y) = (-12.639, 12.3074)
52: (x,y) = (-10.7847, 11.5582)
53: (x,y) = (-8.84408, 12.0421)
54: (x,y) = (-10.8392, 12.1816)
55: (x,y) = (-11.3231, 14.1222)
56: (x,y) = (-9.54104, 13.2142)
57: (x,y) = (-8.07833, 11.8502)
58: (x,y) = (-6.12959, 11.4003)
59: (x,y) = (-8.12472, 11.5398)
60: (x,y) = (-7.03544, 9.86247)
61: (x,y) = (-5.05491, 10.1408)
62: (x,y) = (-5.53875, 12.0814)
63: (x,y) = (-4.33512, 10.4841)
64: (x,y) = (-2.92091, 11.8984)
65: (x,y) = (-0.921214, 11.8634)
66: (x,y) = (1.05932, 11.5851)
67: (x,y) = (1.6106, 9.66258)
68: (x,y) = (3.46497, 8.91336)
69: (x,y) = (1.63787, 8.09989)
70: (x,y) = (-0.361821, 8.1348)
71: (x,y) = (1.29625, 9.25318)
72: (x,y) = (3.26587, 8.90589)
73: (x,y) = (4.11111, 10.7185)
74: (x,y) = (4.66238, 12.641)
75: (x,y) = (6.61112, 12.1911)
76: (x,y) = (4.82911, 13.0991)
77: (x,y) = (6.44714, 14.2747)
78: (x,y) = (4.7698, 13.1854)
79: (x,y) = (6.15912, 11.7467)
80: (x,y) = (7.95671, 12.6235)
81: (x,y) = (8.60784, 10.7324)
82: (x,y) = (10.6066, 10.6626)
83: (x,y) = (10.9195, 8.68725)
84: (x,y) = (12.9046, 8.44351)
85: (x,y) = (14.7317, 7.63003)
86: (x,y) = (12.7998, 8.14767)
87: (x,y) = (14.0585, 9.70196)
88: (x,y) = (13.9538, 7.7047)
89: (x,y) = (12.0628, 8.35584)
90: (x,y) = (11.7499, 6.38046)
91: (x,y) = (10.0725, 5.29119)
92: (x,y) = (10.3854, 3.31581)
93: (x,y) = (8.67108, 4.34589)
94: (x,y) = (9.22235, 2.42336)
95: (x,y) = (8.31437, 0.64135)
96: (x,y) = (6.97611, -0.84494)
97: (x,y) = (7.62725, 1.0461)
98: (x,y) = (7.55745, 3.04488)
99: (x,y) = (6.02536, 4.33045)
100: (x,y) = (5.74701, 2.34992)
101: (x,y) = (7.34429, 1.14629)
102: (x,y) = (9.34398, 1.18119)
103: (x,y) = (10.344, -0.550858)
104: (x,y) = (9.37436, -2.3001)
105: (x,y) = (7.71629, -3.41848)
106: (x,y) = (9.70138, -3.17474)
107: (x,y) = (11.7011, -3.20965)
108: (x,y) = (12.151, -1.26091)
109: (x,y) = (13.2403, -2.93825)
110: (x,y) = (14.0855, -1.12564)
111: (x,y) = (15.9265, -1.9071)
112: (x,y) = (14.0139, -1.32235)
113: (x,y) = (12.0142, -1.28745)
114: (x,y) = (12.0142, 0.712551)
115: (x,y) = (13.9548, 1.19639)
116: (x,y) = (15.6868, 2.19639)
117: (x,y) = (13.6896, 2.09172)
118: (x,y) = (13.6547, 0.0920274)
119: (x,y) = (15.293, -1.05513)
120: (x,y) = (17.1601, -0.33839)
121: (x,y) = (18.3357, -1.95642)
122: (x,y) = (19.6213, -3.48851)
123: (x,y) = (19.4818, -5.48364)
124: (x,y) = (20.6002, -3.82557)
125: (x,y) = (21.2182, -5.72768)
126: (x,y) = (20.1881, -4.01334)
127: (x,y) = (19.3114, -2.21576)
128: (x,y) = (21.124, -1.37052)
129: (x,y) = (19.9204, 0.226752)
130: (x,y) = (19.0751, 2.03937)
131: (x,y) = (19.0053, 0.0405857)
132: (x,y) = (21.0041, -0.0292133)
133: (x,y) = (19.857, -1.66752)
134: (x,y) = (21.8493, -1.49321)
135: (x,y) = (22.9677, -3.15128)
136: (x,y) = (24.4064, -1.76196)
137: (x,y) = (26.2974, -2.4131)
138: (x,y) = (25.8136, -0.472509)
139: (x,y) = (24.7835, -2.18684)
140: (x,y) = (26.6379, -1.43763)
141: (x,y) = (25.2996, -2.92392)
142: (x,y) = (27.2484, -2.47402)
143: (x,y) = (29.218, -2.82131)
144: (x,y) = (28.9396, -4.80185)
145: (x,y) = (29.218, -2.82131)
146: (x,y) = (27.6859, -1.53574)
147: (x,y) = (25.9538, -2.53574)
148: (x,y) = (24.6683, -1.00365)
149: (x,y) = (24.9466, 0.976886)
150: (x,y) = (25.0164, -1.0219)
151: (x,y) = (25.1559, 0.973232)
152: (x,y) = (23.7919, -0.489475)
153: (x,y) = (22.7919, -2.22153)
154: (x,y) = (20.9125, -1.53749)
155: (x,y) = (19.3153, -0.333856)
156: (x,y) = (19.0369, 1.64668)
157: (x,y) = (21.0065, 1.99398)
158: (x,y) = (22.3187, 3.5034)
159: (x,y) = (22.597, 1.52286)
160: (x,y) = (22.2497, 3.49248)
161: (x,y) = (22.2148, 1.49278)
162: (x,y) = (24.2121, 1.59745)
163: (x,y) = (26.1972, 1.84119)
164: (x,y) = (28.1197, 1.28992)
165: (x,y) = (28.0499, -0.708866)
166: (x,y) = (26.1588, -0.0577295)
167: (x,y) = (27.2772, 1.60035)
168: (x,y) = (29.2468, 1.25305)
169: (x,y) = (31.1262, 1.93709)
170: (x,y) = (29.4119, 2.96717)
171: (x,y) = (27.5709, 2.1857)
172: (x,y) = (29.3201, 1.21608)
173: (x,y) = (28.7354, 3.12869)
174: (x,y) = (26.9228, 3.97393)
175: (x,y) = (27.768, 2.16131)
176: (x,y) = (29.4261, 3.2797)
177: (x,y) = (31.3171, 3.93084)
178: (x,y) = (33.1965, 4.61488)
179: (x,y) = (33.1267, 6.61366)
180: (x,y) = (33.301, 8.60605)
181: (x,y) = (31.3086, 8.43174)
182: (x,y) = (32.9667, 7.31335)
183: (x,y) = (31.0646, 6.69532)
184: (x,y) = (33.0597, 6.5558)
185: (x,y) = (34.809, 5.58618)
186: (x,y) = (35.8688, 7.28228)
187: (x,y) = (35.5215, 9.2519)
188: (x,y) = (36.0053, 7.3113)
189: (x,y) = (37.5814, 6.07998)
190: (x,y) = (35.6903, 5.42885)
191: (x,y) = (35.2404, 3.48011)
192: (x,y) = (37.0063, 2.54116)
193: (x,y) = (38.0063, 4.27321)
194: (x,y) = (38.524, 2.34136)
195: (x,y) = (36.9697, 1.08272)
196: (x,y) = (37.144, 3.07511)
197: (x,y) = (38.5827, 4.46443)
198: (x,y) = (38.2354, 6.43404)
199: (x,y) = (36.2948, 5.9502)
200: (x,y) = (36.3646, 3.95142)
201: (x,y) = (37.5401, 5.56945)
202: (x,y) = (36.1508, 7.00813)
203: (x,y) = (34.1511, 7.04304)
204: (x,y) = (35.3825, 8.61906)
205: (x,y) = (33.873, 7.30694)
206: (x,y) = (34.5571, 5.42755)
207: (x,y) = (36.5495, 5.60187)
208: (x,y) = (35.8002, 3.7475)
209: (x,y) = (33.9209, 4.43154)
210: (x,y) = (31.9803, 3.94769)
211: (x,y) = (33.9754, 3.80818)
212: (x,y) = (31.9903, 4.05192)
213: (x,y) = (32.234, 2.06683)
214: (x,y) = (32.5469, 0.0914507)
215: (x,y) = (34.3289, -0.81653)
216: (x,y) = (32.4495, -1.50057)
217: (x,y) = (34.0676, -0.325)
218: (x,y) = (33.4495, 1.57711)
219: (x,y) = (32.6681, 3.41812)
220: (x,y) = (31.8866, 1.57711)
221: (x,y) = (33.005, 3.23519)
222: (x,y) = (34.9176, 3.81993)
223: (x,y) = (33.105, 2.97469)
224: (x,y) = (31.1354, 3.32199)
225: (x,y) = (32.0434, 1.53998)
226: (x,y) = (31.5935, -0.408762)
227: (x,y) = (33.1255, 0.876813)
228: (x,y) = (33.8748, -0.977554)
229: (x,y) = (32.7855, -2.6549)
230: (x,y) = (31.2992, -3.99316)
231: (x,y) = (29.3505, -3.54325)
232: (x,y) = (29.4551, -5.54051)
233: (x,y) = (31.4357, -5.81886)
234: (x,y) = (31.054, -7.78211)
235: (x,y) = (29.1135, -7.29827)
236: (x,y) = (27.8279, -5.76618)
237: (x,y) = (26.768, -4.07009)
238: (x,y) = (25.3538, -5.4843)
239: (x,y) = (26.6921, -6.97059)
240: (x,y) = (25.2779, -5.55638)
241: (x,y) = (23.8392, -4.16706)
242: (x,y) = (22.5536, -5.69915)
243: (x,y) = (24.5533, -5.66424)
244: (x,y) = (24.4486, -3.66698)
245: (x,y) = (23.0846, -2.20428)
246: (x,y) = (25.0409, -2.6201)
247: (x,y) = (25.3193, -0.639563)
248: (x,y) = (23.8806, -2.02888)
249: (x,y) = (24.6941, -0.201789)
250: (x,y) = (24.4157, -2.18233)
251: (x,y) = (22.9063, -3.49444)
252: (x,y) = (22.0611, -1.68183)
253: (x,y) = (20.365, -2.74167)
254: (x,y) = (21.4834, -1.08359)
255: (x,y) = (19.5923, -0.432455)
256: (x,y) = (18.6844, 1.34956)
257: (x,y) = (16.7438, 1.8334)
258: (x,y) = (14.9945, 2.80302)
259: (x,y) = (14.2453, 4.65739)
260: (x,y) = (16.2149, 4.31009)
261: (x,y) = (16.899, 6.18948)
262: (x,y) = (15.8689, 4.47514)
263: (x,y) = (17.5832, 5.50522)
264: (x,y) = (17.8616, 7.48576)
